CUST_ID|NO_OF_CARDS_PURCHASES|NO_OF_CREDIT_CARDS_TRANSACTIONS|NO_OF_DEBIT_CARDS_TRANSACTIONS|NO_OF_TELLER_TRANSACTIONS|NO_OF_ATM_TRANSACTIONS|NO_OF_INTERNATIONAL_CARDS_TRANSACTIONS|NO_OF_INTERNATIONAL_ATM_TRANSACTIONS|NO_OF_E_TRANSACTIONS|VALUE_OF_CARDS_PURCHASES|VALUE_OF_CREDIT_CARDS_TRANSACTIONS|VALUE_OF_DEBIT_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_ATM_TRANSACTIONS
234238|44|44|0|24|0|0|0|0|1579.050000|1579.050000|0.000000|0.000000|0.000000
234256|17|26|0|23|56|2|0|0|840.110000|2470.110000|0.000000|153.610000|0.000000
234278|||||||||||||
234298||||51|0|0|0|0||||0.000000|0.000000
234315||||18|0|0|0|0||||0.000000|0.000000
234341|51|51|0|19|31|5|0|63|2644.640000|2644.640000|0.000000|187.030000|0.000000
234361|6|6|0|18|0|2|0|0|888.070000|888.070000|0.000000|1.160000|0.000000
234388|101|101|0|7|0|0|0|0|3225.390000|3225.390000|0.000000|0.000000|0.000000
234409||||5|0|0|0|0||||0.000000|0.000000
234426|25|25|0|29|0|0|0|0|798.640000|798.640000|0.000000|0.000000|0.000000
234445|18|18|0|21|0|0|0|0|773.410000|773.410000|0.000000|0.000000|0.000000
234463|251|251|0|93|0|0|0|2|6028.110000|6028.110000|0.000000|0.000000|0.000000
234481|69|69|0|29|0|0|0|0|2262.500000|2262.500000|0.000000|0.000000|0.000000
234502|21|30|0|5|0|16|0|48|1936.580000|1976.700000|0.000000|1585.970000|0.000000
234521|97|97|0|6|0|0|0|0|4602.130000|4602.130000|0.000000|0.000000|0.000000
234543|61|0|61|5|9|0|0|0|698.520000|0.000000|698.520000|0.000000|0.000000
234563|20|20|0|17|0|0|0|0|659.870000|659.870000|0.000000|0.000000|0.000000
234582|4|4|0|14|2|0|0|2|1355.000000|1355.000000|0.000000|0.000000|0.000000
234602|1|0|1|146|0|0|0|0|17.950000|0.000000|17.950000|0.000000|0.000000
234628|34|0|34|26|0|0|0|0|678.000000|0.000000|678.000000|0.000000|0.000000
234658||||12|0|0|0|0||||0.000000|0.000000
234675||||8|35|0|0|0||||0.000000|0.000000
234694|21|21|0|41|64|1|0|0|386.770000|386.770000|0.000000|13.180000|0.000000
234715|4|4|0|16|0|4|0|0|190.740000|190.740000|0.000000|190.740000|0.000000
234735|33|33|0|22|0|0|0|0|1453.400000|1453.400000|0.000000|0.000000|0.000000
234758|122|122|0|83|52|0|0|0|4097.990000|4097.990000|0.000000|0.000000|0.000000
234784|65|65|0|151|37|0|0|0|2118.440000|2118.440000|0.000000|0.000000|0.000000
234812|14|14|0|127|23|0|0|0|563.560000|563.560000|0.000000|0.000000|0.000000
234837|203|203|0|2|0|5|0|1|5446.360000|5446.360000|0.000000|316.210000|0.000000
234854|112|112|0|1|0|0|0|0|3822.250000|3822.250000|0.000000|0.000000|0.000000
234877|29|0|29|0|0|0|0|0|735.880000|0.000000|735.880000|0.000000|0.000000
234893|68|4|64|2|1|0|0|0|2574.770000|221.530000|2353.240000|0.000000|0.000000
234908|7|7|0|84|0|4|0|34|159.470000|159.470000|0.000000|111.030000|0.000000
234935|6|0|6|16|13|0|0|0|102.790000|0.000000|102.790000|0.000000|0.000000
234974|79|97|0|14|23|8|0|0|1394.070000|1974.070000|0.000000|38.980000|0.000000
235005|10|10|0|294|0|0|0|27|631.970000|631.970000|0.000000|0.000000|0.000000
235028|11|13|0|1|16|6|1|11|463.830000|766.560000|0.000000|463.560000|59.870000
235053|26|0|26|36|78|0|0|2|487.380000|0.000000|487.380000|0.000000|0.000000
235076|3|3|0|93|0|0|0|0|72.000000|72.000000|0.000000|0.000000|0.000000
235094||||17|2|0|0|0||||0.000000|0.000000
235119|23|23|0|10|0|1|0|0|1154.110000|1154.110000|0.000000|53.700000|0.000000
235141|8|8|0|121|76|0|0|0|387.900000|387.900000|0.000000|0.000000|0.000000
235158|22|22|0|1|0|1|0|0|843.430000|843.430000|0.000000|15.190000|0.000000
235184|39|13|26|68|1|0|0|0|918.000000|314.640000|603.360000|0.000000|0.000000
235210|9|9|0|8|0|2|0|0|427.140000|427.140000|0.000000|65.250000|0.000000
235223|63|9|54|11|0|0|0|0|1551.560000|317.300000|1234.260000|0.000000|0.000000
235248|29|29|0|9|0|0|0|0|1217.050000|1217.050000|0.000000|0.000000|0.000000
235268||||31|0|0|0|0||||0.000000|0.000000
235293|21|20|3|20|20|3|1|112|5830.990000|5823.490000|516.630000|321.380000|359.320000
235319|5|5|0|15|0|0|0|0|622.250000|622.250000|0.000000|0.000000|0.000000
